#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"est le serveur graphique."
,xorg-xwininfo,"permet d'obtenir des informations sur les fenêtres."
,xorg-xinit,"démarre le serveur graphique."
,ttf-linux-libertine,"est la police d'écriture Sans et Serif de DOT."
,ttf-hack,"est la police monospace de DOT."
,ttf-font-awesome,"procure des icones et emojis intégrables au terminal."
A,lf-git,"est un gestionnaire de fichier basé sur le terminal."
,bc,"est un language de calcul basique."
,r,"est un language pour l'analyse de données."
,xcompmgr,"permet de gérer la transparence."
,xorg-xprop,"est un outil de détection des propriétés des fenêtres."
,arandr,"permet à l'utilisateur de gérer plusieurs écrans et leur position."
,dosfstools,"autorise votre ordinateur à accéder à des systèmes de fichier DOS."
,libnotify,"gère les notifications de bureau."
,dunst,"est un système de notifications système (suckless)."
,exfat-utils,"gère les disques FAT."
,sxiv,"est un visualiseur d'images minimaliste."
,xwallpaper,"s'occupe du fond d'écran."
,ffmpeg,"est le couteau-suisse de l'édition vidéo."
,gnome-keyring,"est le trousseau de clés."
A,gtk-theme-arc-gruvbox-git,"donne le thème sombre à GTK."
,neovim," est une branche de vim."
,mpv,", le couteau-suisse de la lecture vidéo."
,man-db,"vous permet de lire la documentation des programmes que vous installez."
,newsboat,"est un excellent lecteur de flux RSS basé sur le terminal."
A,surf,"est un navigateur internet minimaliste."
,noto-fonts-emoji,"est une police d'emojis."
,ntfs-3g,"permet d'accéder à des partitions NTFS."
,pipewire,"gère l'audio."
,pipewire-pulse,"donne à pipewire la compatibilité avec les programmes pulseaudio."
,pulsemixer,"est un contrôleur audio."
,pamixer,"est une interface audio en ligne de commande."
,maim,"sert à faire des captures d'écran."
,unclutter,"cache la souris lorsqu'elle est inactive."
,unrar,"est un extracteur de fichier rar."
,unzip,"dézippe les zip."
,lynx,"permet de surfer dans le terminal."
,xcape,"permet de mapper des touches avec d'autres au clavier."
,xclip,"permet de copier/coller depuis la ligne de commande."
,xdotool,"permet de réaliser des actions sur les fenêtres depuis la ligne de commande."
,xorg-xdpyinfo,"aide à déterminer la résolution de l'écran."
,youtube-dl,"peut télécharger des vidéos YouTube à partir d'un lien."
A,yt-dlp,"peut faire mieux que youtube-dl en termes de rapidité (prévoir un remplacement total)."
,zathura,"est un lecteur pdf."
,zathura-pdf-mupdf,"compatibilité mupdf avec zathura."
,zathura-djvu,"compatibilité djvu avec zathura."
,poppler,"donne des fonctionnalités de prévisualisation et de manipulation de pdf."
,mediainfo,"affiche les informations audio et vidéo."
,atool,"affiche les informations des fichiers compressés/archivés."
,fzf,"permet d'effectuer des recherches."
,highlight,"met en couleurs des sorties de terminal."
,xorg-xbacklight,"permet de gérer la luminosité de l'écran."
A,zsh-fast-syntax-highlighting-git,"fourni le surlignage de la syntaxe dans le terminal."
A,task-spooler,"met en file d'attente des commandes."
A,simple-mtpfs,"gère les systèmes de fichiers des smartphones."
A,htop-vim-git,"est un moniteur système."
,slock,"permet de bloquer/débloquer rapidement votre ordinateur."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"est une collection d'outils unix."
